"year","industry_aggregation_nzsioc","industry_code_nzsioc","industry_name_nzsioc","units","variable_code","variable_name","variable_category","value","industry_code_anzsic06"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H36","Current ratio","Financial ratios",76,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H37","Quick ratio","Financial ratios",65,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H39","Return on equity","Financial ratios",12,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H40","Return on total assets","Financial ratios",6,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H41","Liabilities structure","Financial ratios",47,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H01","Total income","Financial performance",4478,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H04","Sales, government funding, grants and subsidies","Financial performance",4164,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H05","Interest, dividends and donations","Financial performance",103,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H07","Non-operating income","Financial performance",211,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H08","Total expenditure","Financial performance",3613,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H09","Interest and donations","Financial performance",181,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H10","Indirect taxes","Financial performance",33,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H11","Depreciation","Financial performance",202,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H12","Salaries and wages paid","Financial performance",761,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H13","Redundancy and severance","Financial performance",0,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H19","Purchases and other operating expenses","Financial performance",2421,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H20","Non-operating expenses","Financial performance",14,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H21","Opening stocks","Financial performance",336,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H22","Closing stocks","Financial performance",333,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H23","Surplus before income tax","Financial performance",863,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H24","Total assets","Financial position",13261,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H25","Current assets","Financial position",2376,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H26","Fixed tangible assets","Financial position",8753,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H29","Other assets","Financial position",2132,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H30","Total equity and liabilities","Financial position",13261,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H31","Shareholders funds or owners equity","Financial position",6133,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H32","Current liabilities","Financial position",3227,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H33","Other liabilities","Financial position",3901,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars","H34","Total income per employee count","Financial ratios",181600,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Dollars","H35","Surplus per employee count","Financial ratios",35000,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H36","Current ratio","Financial ratios",74,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H37","Quick ratio","Financial ratios",63,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H39","Return on equity","Financial ratios",14,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H40","Return on total assets","Financial ratios",7,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 3","AA11","Horticulture and Fruit Growing","Percentage","H41","Liabilities structure","Financial ratios",46,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H01","Total income","Financial performance",4478,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H04","Sales, government funding, grants and subsidies","Financial performance",4164,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H05","Interest, dividends and donations","Financial performance",103,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H07","Non-operating income","Financial performance",211,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H08","Total expenditure","Financial performance",3613,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H09","Interest and donations","Financial performance",181,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H10","Indirect taxes","Financial performance",33,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H11","Depreciation","Financial performance",202,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H12","Salaries and wages paid","Financial performance",761,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H13","Redundancy and severance","Financial performance",0,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H19","Purchases and other operating expenses","Financial performance",2421,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H20","Non-operating expenses","Financial performance",14,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H21","Opening stocks","Financial performance",336,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H22","Closing stocks","Financial performance",333,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H23","Surplus before income tax","Financial performance",863,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H24","Total assets","Financial position",13261,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H25","Current assets","Financial position",2376,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H26","Fixed tangible assets","Financial position",8753,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H29","Other assets","Financial position",2132,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H30","Total equity and liabilities","Financial position",13261,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H31","Shareholders funds or owners equity","Financial position",6133,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H32","Current liabilities","Financial position",3227,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H33","Other liabilities","Financial position",3901,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars","H34","Total income per employee count","Financial ratios",181600,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Dollars","H35","Surplus per employee count","Financial ratios",35000,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H36","Current ratio","Financial ratios",74,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H37","Quick ratio","Financial ratios",63,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H39","Return on equity","Financial ratios",14,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H40","Return on total assets","Financial ratios",7,"ANZSIC06 groups A011, A012, and A013"
2018,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H41","Liabilities structure","Financial ratios",46,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H01","Total income","Financial performance",4228,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H04","Sales, government funding, grants and subsidies","Financial performance",3999,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H05","Interest, dividends and donations","Financial performance",72,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H07","Non-operating income","Financial performance",158,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H08","Total expenditure","Financial performance",3444,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H09","Interest and donations","Financial performance",179,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H10","Indirect taxes","Financial performance",34,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H11","Depreciation","Financial performance",184,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H12","Salaries and wages paid","Financial performance",715,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H13","Redundancy and severance","Financial performance",0,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H19","Purchases and other operating expenses","Financial performance",2320,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H20","Non-operating expenses","Financial performance",12,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H21","Opening stocks","Financial performance",303,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H22","Closing stocks","Financial performance",312,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H23","Surplus before income tax","Financial performance",794,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H24","Total assets","Financial position",12214,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H25","Current assets","Financial position",2182,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H26","Fixed tangible assets","Financial position",8073,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H29","Other assets","Financial position",1959,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H30","Total equity and liabilities","Financial position",12214,"ANZSIC06 groups A011, A012, and A013"
2017,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H31","Shareholders funds or owners equity","Financial position",5648,"ANZSIC06 groups A011, A012, and A013"
